 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSurrogateUsed
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	0.276083	0.299384	0.299384	1	null	null	null	-1.28524	0.108602	2.59e-32	0.299684	45.7609	46	1497	3.45312	1.6697	3.4677	260.692	68.1764	59.1019	4443.13	null	null	null	null	1	1	null	1	328.869	329	67	61	null	null	null	2.14e-61	27.0367	59.1019	4443.13	null	55.2518	55	1497	4.78383	1.04243	1.37598	23.0258	59.8595	13.7671	230.38	null	null	null	1	1	1	null	1	82.8852	83	67	61	1	null	null	1.75e-24	10.7006	13.7671	230.38	null
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	0.276083	-0.0152279	-0.0152279	null	null	null	null	-0.918797	0.582745	0.114871	-0.0295038	45.8183	46	1574	3.19647	1.6697	0.676295	5.31513	68.1764	8.77109	68.9337	null	null	null	null	1	1	null	1	73.4915	73	67	59	1	null	null	3.44e-11	4.95279	8.77109	68.9337	null	55.3018	55	1574	4.77009	1.04243	0.84307	0.632064	59.8595	11.085	8.31064	null	null	null	null	1	null	null	null	60.4915	60	67	59	null	null	null	0.456321	6.40144	11.085	8.31064	null
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	0.276083	0.720516	0.720516	1	null	null	null	-0.014123	0.0491461	0.77383	0.720637	45.874	46	1556	3.25481	1.6697	10.2954	665.245	68.1764	189.635	12253.4	null	null	null	null	1	1	null	1	733.421	716	67	57	2	null	null	2.54e-54	77.7131	189.635	12253.4	null	55.4389	55	1556	4.93672	1.04243	17.9891	1281.21	59.8595	166.542	11861.4	null	null	null	null	1	1	null	1	1341.07	1331	67	57	1	null	null	1.24e-56	135.811	166.542	11861.4	null
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	0.276083	0.67501	0.67501	1	null	null	null	0.115809	0.0498616	0.0202008	0.675809	45.8694	46	1547	3.2176	1.6697	3.83219	197.122	68.1764	68.1876	3507.46	null	null	null	null	1	1	null	1	265.298	264	67	57	1	null	null	4.92e-49	28.8914	68.1876	3507.46	null	55.0627	55	1547	4.70659	1.04243	6.51175	477.825	59.8595	62.4066	4579.32	null	null	null	null	1	1	null	1	537.684	529	67	57	2	null	null	2.22e-57	49.1532	62.4066	4579.32	null
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	0.276083	0.126577	0.126577	1	null	null	null	0.00500567	0.0495663	0.919559	0.123276	45.863	46	1599	3.55125	1.6697	1.07443	25.0517	68.1764	16.0787	374.894	null	null	null	null	1	1	null	1	93.2281	93	67	57	4	null	null	7.83e-32	7.96424	16.0787	374.894	null	55.0069	55	1599	4.74908	1.04243	1.03217	33.2809	59.8595	11.7617	379.24	null	null	null	null	1	1	null	1	93.1404	93	67	57	3	1	null	1.29e-38	7.73314	11.7617	379.24	null
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	0.276083	-0.0948963	-0.0948963	1	null	null	null	-0.0332603	0.0505658	0.510691	-0.105437	45.9741	46	1620	3.73545	1.6697	0.863265	16.7029	68.1764	11.2781	218.214	null	null	null	null	1	1	null	1	84.8793	84	67	58	1	null	null	2.23e-28	6.38825	11.2781	218.214	null	55.1049	55	1620	5.02767	1.04243	1.19217	15.4854	59.8595	15.5611	202.126	null	null	null	null	1	1	null	1	75.3448	74	67	58	1	null	null	7.36e-19	9.02735	15.5611	202.126	null
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	0.276083	0.0510148	0.0510148	1	null	null	null	0.0621451	0.049366	0.20808	0.0504785	45.903	46	1598	3.50489	1.6697	2.15551	87.9592	68.1764	37.9878	1550.16	null	null	null	null	1	1	null	1	156.136	158	67	59	1	null	null	5.72e-45	16.4824	37.9878	1550.16	null	55.0751	55	1598	4.85036	1.04243	4.23566	184.852	59.8595	40.9843	1788.63	null	null	null	null	1	1	null	1	244.712	246	67	59	null	null	null	4.11e-46	32.52	40.9843	1788.63	null
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	0.276083	0.168208	0.168208	1	null	null	null	0.148887	0.0507606	0.00335582	0.167335	45.9374	46	1534	3.24173	1.6697	0.796724	20.8064	68.1764	11.8835	310.336	null	null	null	null	1	1	null	1	88.9828	90	67	58	null	2	null	3.54e-36	5.86542	11.8835	310.336	null	54.8507	55	1534	4.78424	1.04243	1.22967	38.244	59.8595	14.0587	437.238	null	null	null	null	1	1	null	1	98.1034	98.5	67	58	1	null	null	5.7e-38	9.31456	14.0587	437.238	null
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	0.276083	0.0162544	0.0162544	null	null	null	null	-2	2	1	0.00396836	46.1987	46	1590	3.6913	1.6697	0.767615	5.74027	68.1764	10.1383	75.8145	null	null	null	null	1	1	null	1	73.9167	73	67	60	2	1	null	1.95e-10	5.73213	10.1383	75.8145	null	54.9044	55	1590	4.77086	1.04243	0.748397	-0.526128	59.8595	9.6628	-6.79301	null	null	null	null	1	null	null	null	59.3333	59	67	60	null	null	null	0.484661	5.71251	9.6628	-6.79301	null
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	0.276083	0.096212	0.096212	1	null	null	null	0.164539	0.0508314	0.00120809	0.0936737	46.1258	46	1621	3.65269	1.6697	0.875375	26.1569	68.1764	13.5237	404.101	null	null	null	null	1	1	null	1	94.3333	93.5	67	60	2	null	null	5.47e-40	6.59395	13.5237	404.101	null	54.8742	55	1621	4.91297	1.04243	1.50505	53.4739	59.8595	16.6127	590.241	null	null	null	null	1	1	null	1	113.333	111.5	67	60	1	null	null	6.23e-42	11.6163	16.6127	590.241	null
