 metaColumn	metaRow	column	row	Reporter identifier	Feature Extraction Software:BGPixCorrelation	Feature Extraction Software:BGSubSigCorrelation	Feature Extraction Software:DyeNormCorrelation	Feature Extraction Software:ErrorModel	Feature Extraction Software:IsManualFlag	Feature Extraction Software:IsNormalization	Feature Extraction Software:IsUsedBGAdjust	Feature Extraction Software:LogRatio	Feature Extraction Software:LogRatioError	Feature Extraction Software:PValueLogRatio	Feature Extraction Software:PixCorrelation	Feature Extraction Software:gBGMeanSignal	Feature Extraction Software:gBGMedianSignal	Feature Extraction Software:gBGNumPix	Feature Extraction Software:gBGPixSDev	Feature Extraction Software:gBGSDUsed	Feature Extraction Software:gBGSubSigError	Feature Extraction Software:gBGSubSignal	Feature Extraction Software:gBGUsed	Feature Extraction Software:gDyeNormError	Feature Extraction Software:gDyeNormSignal	Feature Extraction Software:gIsBGNonUnifOL	Feature Extraction Software:gIsBGPopnOL	Feature Extraction Software:gIsFeatNonUnifOL	Feature Extraction Software:gIsFeatPopnOL	Feature Extraction Software:gIsFound	Feature Extraction Software:gIsPosAndSignif	Feature Extraction Software:gIsSaturated	Feature Extraction Software:gIsWellAboveBG	Feature Extraction Software:gMeanSignal	Feature Extraction Software:gMedianSignal	Feature Extraction Software:gNumBGUsed	Feature Extraction Software:gNumPix	Feature Extraction Software:gNumPixOLHi	Feature Extraction Software:gNumPixOLLo	Feature Extraction Software:gNumSatPix	Feature Extraction Software:gPValFeatEqBG	Feature Extraction Software:gPixSDev	Feature Extraction Software:gProcessedSigError	Feature Extraction Software:gProcessedSignal	Feature Extraction Software:gSpatialDetrendIsInFilteredSet	Feature Extraction Software:gSpatialDetrendSurfaceValue	Feature Extraction Software:gSurrogateUsed	Feature Extraction Software:rBGMeanSignal	Feature Extraction Software:rBGMedianSignal	Feature Extraction Software:rBGNumPix	Feature Extraction Software:rBGPixSDev	Feature Extraction Software:rBGSDUsed	Feature Extraction Software:rBGSubSigError	Feature Extraction Software:rBGSubSignal	Feature Extraction Software:rBGUsed	Feature Extraction Software:rDyeNormError	Feature Extraction Software:rDyeNormSignal	Feature Extraction Software:rIsBGNonUnifOL	Feature Extraction Software:rIsBGPopnOL	Feature Extraction Software:rIsFeatNonUnifOL	Feature Extraction Software:rIsFeatPopnOL	Feature Extraction Software:rIsFound	Feature Extraction Software:rIsPosAndSignif	Feature Extraction Software:rIsSaturated	Feature Extraction Software:rIsWellAboveBG	Feature Extraction Software:rMeanSignal	Feature Extraction Software:rMedianSignal	Feature Extraction Software:rNumBGUsed	Feature Extraction Software:rNumPix	Feature Extraction Software:rNumPixOLHi	Feature Extraction Software:rNumPixOLLo	Feature Extraction Software:rNumSatPix	Feature Extraction Software:rPValFeatEqBG	Feature Extraction Software:rPixSDev	Feature Extraction Software:rProcessedSigError	Feature Extraction Software:rProcessedSignal	Feature Extraction Software:rSpatialDetrendIsInFilteredSet	Feature Extraction Software:rSpatialDetrendSurfaceValue	Feature Extraction Software:rSurrogateUsed	Feature Extraction Software:xDev
1	1	1	1	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000001	null	0.0259285	0.0259285	1	null	null	null	-1.4	0.117	4.05e-33	0.023643	45.1	45	2317	3.46	1.20873	3.74882	316.957	59.726	51.7034	4371.45	null	null	null	null	1	1	null	1	377	374	64	60	null	null	null	1.96e-63	29	51.7	4370	null	null	null	63.2	63	2317	6.49	1.27052	1.22588	20.3036	66.2797	10.5519	174.766	null	null	null	null	1	1	null	1	86.6	86.5	64	60	1	1	null	2.97e-24	9.42	10.6	175	null	null	null	-12
1	1	1	2	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000051	-1.18e-06	0.0455446	0.0455446	null	null	null	null	-0.285	0.142	0.0451	0.0201674	45.3	45	1988	3.55	1.20873	0.57332	3.03674	59.726	8.2345	43.6162	null	null	null	null	1	1	null	null	62.8	62	64	59	1	1	null	1.43e-06	4.25	8.23	43.6	null	null	null	63.3	63	1988	6.51	1.27052	0.756676	2.73726	66.2797	6.25428	22.6247	null	null	null	null	1	1	null	null	69	69	64	59	1	2	null	0.000591104	5.68	6.25	22.6	null	null	null	-2
1	1	1	3	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000101	null	0.79273	0.79273	1	null	null	null	-0.00988	0.0491	0.841	0.79276	45.4	45	1985	3.53	1.20873	14.5114	876.941	59.726	188.595	11397	null	null	null	null	1	1	null	1	937	898	64	63	null	null	null	7.9e-57	115	189	11400	null	null	null	63.4	63	1985	6.51	1.27052	17.6388	1219.63	66.2797	161.122	11140.7	null	null	null	null	1	1	null	1	1290	1285	64	63	null	null	null	2.11e-60	140	161	11100	null	null	null	-0.201
1	1	1	4	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000151	null	0.419639	0.419639	1	null	null	null	-0.0588	0.0493	0.233	0.419593	45.4	45	1974	3.48	1.20873	4.55829	247.941	59.726	61.2189	3329.9	null	null	null	null	1	1	null	1	308	300	64	57	null	null	null	3.02e-50	34.4	61.2	3330	null	null	null	63.5	64	1974	6.52	1.27052	5.84791	329.001	66.2797	51.6922	2908.18	null	null	null	null	1	1	null	1	395	397	64	57	1	null	null	5e-51	44.1	51.7	2910	null	null	null	-1.19
1	1	1	5	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000201	null	-0.00581938	-0.00581938	1	null	null	null	-0.523	0.0626	5.88e-17	-0.0102451	45.6	46	1988	3.51	1.20873	1.55164	72.9953	59.726	21.2717	1000.7	null	null	null	null	1	1	null	1	133	131	64	61	null	null	null	9.93e-50	12.1	21.3	1000	null	null	null	63.7	64	1988	6.59	1.27052	1.7114	34.6219	66.2797	14.82	299.812	null	null	null	null	1	1	null	1	101	102	64	61	null	null	null	9.37e-29	13.3	14.8	300	null	null	null	-8.37
1	1	1	6	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000251	null	0.225323	0.225323	1	null	null	null	0.00137	0.0504	0.978	0.220263	45.5	45	1971	3.48	1.20873	0.757946	16.3296	59.726	10.2282	220.361	null	null	null	null	1	1	null	1	76.1	76	64	54	2	1	null	3.47e-29	5.46	10.2	220	null	null	null	63.7	64	1971	6.64	1.27052	1.39471	25.1277	66.2797	12.2697	221.055	null	null	null	null	1	1	null	1	91.4	91	64	54	1	1	null	1.37e-24	10.2	12.3	221	null	null	null	0.0271
1	1	1	7	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000301	null	0.00547614	0.00547614	1	null	null	null	0.00592	0.0492	0.904	0.0027642	45.5	45.5	1978	3.64	1.20873	1.6358	135.21	59.726	21.9386	1813.37	null	null	null	null	1	1	null	1	195	195	64	62	null	null	null	3.44e-65	12.8	21.9	1810	null	null	null	63.6	63	1978	6.59	1.27052	2.57753	207.672	66.2797	22.8156	1838.26	null	null	null	null	1	1	null	1	274	273	64	62	1	null	null	4.88e-64	20.3	22.8	1840	null	null	null	0.12
1	1	1	8	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000351	null	0.226505	0.226505	1	null	null	null	-0.227	0.0523	1.43e-05	0.222609	45.6	46	1979	3.7	1.20873	1.09407	33.9758	59.726	14.7636	458.475	null	null	null	null	1	1	null	1	93.7	92	64	57	1	null	null	6.54e-38	8.18	14.8	458	null	null	null	63.3	63	1979	6.43	1.27052	1.41806	30.8957	66.2797	12.4754	271.807	null	null	null	null	1	1	null	1	97.2	98	64	57	null	null	null	1.92e-29	10.6	12.5	272	null	null	null	-4.34
1	1	1	9	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000401	-8.41e-06	-0.197947	-0.197947	null	null	null	null	-0.369	0.194	0.0566	-0.237191	45.5	45	1976	3.7	1.20873	0.707799	2.63941	59.726	10.339	38.5546	null	null	null	null	1	1	null	null	62.4	62.5	64	52	1	null	null	0.000450691	4.99	10.3	38.6	null	null	null	63.1	63	1976	6.45	1.27052	0.622591	2.028	66.2797	5.05989	16.4819	null	null	null	null	1	1	null	null	68.3	68.5	64	52	9	1	null	0.00187983	4.34	5.06	16.5	null	null	null	-1.91
1	1	1	10	ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-318.AGEN000451	null	0.0550261	0.0550261	1	null	null	null	-0.0647	0.0495	0.192	0.0504669	45.3	45	1971	3.67	1.20873	1.17679	46.2576	59.726	16.1662	635.463	null	null	null	null	1	1	null	1	106	105	64	61	1	null	null	1.52e-45	9.11	16.2	635	null	null	null	63.3	63	1971	6.6	1.27052	1.89768	63.3597	66.2797	16.3992	547.537	null	null	null	null	1	1	null	1	130	128	64	61	null	null	null	7.84e-41	14.8	16.4	548	null	null	null	-1.31
